crop,farm_area,temperature,humidity,rainfall,soil_moisture,location,irrigation_amount,irrigation_decision
tomato,9.580022098375109,28.369304168724113,83.68450123265755,3.0533264473289403,47.55493351795203,"Malda, West Bengal",399.44211705326995,1
cotton,7.571907487136069,24.586906017759976,76.64164819840737,0.0,76.313162540945,"Kolkata, India",495.86906017759975,1
wheat,9.578523237744974,28.20981135783017,55.86719755342202,5.442229925539415,56.71117368334277,"Kolkata, India",100.3571832278405,1
wheat,48.70089818265223,25.744780159571118,73.3613288350523,0.0,42.94771947602976,"Kolkata, India",398.0247839097224,1
tomato,2.7992954296398875,19.245032112888488,63.75698018345672,31.73687793506931,77.93792198447356,"Punjab, India",0.0,0
wheat,15.578381574081849,27.45517000631091,48.6444025972536,0.0,27.32229409068673,"Haryana, India",468.81490386421564,1
cotton,45.51135990289971,32.11272456051594,52.791563500289776,9.341108959092287,52.80261676059678,"Maharashtra, India",116.62165202113817,1
cotton,38.86907475637517,29.692332899977053,56.7136828118997,4.181346946312674,22.713637334632285,"Haryana, India",514.4376311865052,1
cotton,13.931777072807847,23.696806145201062,80.57122226218915,9.82407083207746,28.45545349848576,"Malda, West Bengal",125.02798336778898,1
cotton,1.2740021336890996,15.621616138967415,46.332178611137024,2.1417988375711494,31.93054424532831,"Punjab, India",392.8380771312334,1
maize,38.67788216095431,26.964170549477128,58.7652260501504,21.885295716582227,57.39788760965347,"Maharashtra, India",36.47970336874471,0
wheat,3.64613833915817,19.46832512996986,48.037933759193294,0.0,58.253448281312785,"Punjab, India",311.27827590978904,1
maize,23.87463879551649,29.80818012523817,58.54880245394876,0.0,53.67663185416978,"Maharashtra, India",641.0129344144541,1
maize,35.67781303944648,24.247330708701085,50.344423281050254,24.61093840942367,48.52221339092671,"Punjab, India",53.89817661921461,0
cotton,45.42454045934161,24.327917731632475,60.049461291856645,0.0,33.72788992949735,"Kolkata, India",598.2100668699233,1
maize,8.480453719073218,32.57701058851037,68.28751109659684,0.0,31.194203533162153,"Maharashtra, India",815.7877977735899,1
maize,6.543353757683331,29.620416257629387,52.44235363041058,0.0,58.86140723248174,"Haryana, India",607.6655240339984,1
rice,17.952158388541367,22.64847522719463,69.93356780368477,0.0,49.08979828153899,"Kolkata, India",691.3424101556634,1
rice,13.835910523026813,24.669696898847857,59.86212508491754,10.16676197331698,44.23017026348245,"Maharashtra, India",241.29581997805462,1
rice,48.1411410996345,25.9072459774418,38.26495378009777,0.0,37.090429662648056,"Haryana, India",811.9272227903614,1
rice,30.673434532004894,24.70408848781761,65.03937304431403,25.888609510893403,34.37371344001835,"Maharashtra, India",208.94171381417243,1
wheat,24.72791163373937,31.714114072575104,77.51933032686775,15.027489284923162,42.06698796315519,"Malda, West Bengal",98.342700905198,0
tomato,31.85972068266429,21.596795907351154,55.76894948584572,0.0,39.24680389830415,"Haryana, India",516.8883621311505,1
cotton,29.74920068781797,20.246682844669337,65.68562974806028,0.0,30.461985740299486,"Maharashtra, India",563.4932033313577,1
rice,41.96665024241273,31.846038234763114,63.733169690894265,9.796815233359066,61.74706396070493,"Haryana, India",248.60930326586276,1
tomato,49.117332994807064,17.447352107374847,56.18978491895985,0.0,77.92516107732762,"Haryana, India",382.02616896637363,1
cotton,44.19049898787232,22.993013772141367,61.533856431352035,0.0,70.79966853429835,"Malda, West Bengal",479.9301377214137,1
tomato,32.28056648463725,26.131441347494373,68.47401432576639,3.0699690143594935,59.81010614648335,"Punjab, India",319.06295489166126,1
cotton,8.459998545166183,35.328872555723784,59.73832920911788,0.0,33.45615856763359,"Haryana, India",733.2602919706334,1
rice,12.243829831091604,32.79297789503702,66.7931768164829,0.0,70.95340462965068,"Kolkata, India",693.5157347404443,1
